first,last,suffix,pos,dob,col,id_armchair,id_nfl_old,id_ffcalc,id_underdog,id_gsis,id_esd,id_nfl_new
airese,currie,NA,WR,11/16/1982,Clemson,AC-2800,2506477,NA,NA,NA,NA,NA
anthony,dable,NA,WR,09/25/1988,None,AD-0050,2555573,NA,NA,00-0032333,DAB359918,NA
andy,dalton,NA,QB,10/29/1987,Texas Christian,AD-0100,2495143,1802,e89e4c74-7f6b-4208-82d7-b0d723781350,00-0027973,DAL659900,NA
amara,darboh,NA,WR,02/01/1994,Michigan,AD-0212,2557905,NA,NA,00-0033937,DAR032327,32013030-2d30-3033-3339-33377fdb6fb4
andre,davis,NA,WR,09/01/1993,South Florida,AD-0350,2553514,NA,NA,00-0031635,DAV122703,NA
andre,davis,NA,WR,06/12/1979,Virginia Tech,AD-0400,2505045,NA,NA,00-0021175,DAV125323,NA
austin,davis,NA,QB,06/02/1989,Southern Mississippi,AD-0680,2533349,NA,NA,00-0028957,DAV164136,32013030-2d30-3032-3839-35372ad9e22c
alex,debniak,NA,RB,01/05/1990,Stanford,AD-0750,2541138,NA,NA,00-0030026,DEB548243,NA
andre,debose,NA,WR,09/12/1990,Florida,AD-0775,2553453,NA,NA,00-0032121,DEB587551,NA
anthony,denham,NA,TE,07/21/1991,Utah,AD-0850,2550556,NA,NA,00-0031140,DEN050390,NA
autry,denson,NA,RB,12/08/1976,Notre Dame,AD-1000,2500369,NA,NA,NA,NA,NA
aj,derby,NA,TE,09/20/1991,Arkansas,AD-1175,2552580,NA,NA,00-0031609,DER139014,32013030-2d30-3033-3136-30398e87fa72
anthony,dixon,NA,RB,09/24/1987,Mississippi State,AD-1300,497172,1755,NA,00-0027772,DIX077953,32013030-2d30-3032-3737-37326a9eb7b1
aaron,dobson,NA,WR,06/13/1991,Marshall,AD-1450,2539256,1986,NA,00-0030540,DOB744752,32013030-2d30-3033-3035-3430833c6c6b
adam,drake,NA,WR,NA,Eastern Illinois,AD-1550,2554361,NA,NA,NA,DRA155410,NA
austin,duke,NA,WR,08/03/1993,Charlotte,AD-1575,2558937,NA,NA,00-0033409,DUK254861,NA
ashton,dulin,NA,WR,05/15/1997,Malone,AD-1587,2562646,NA,b7adc6a7-a9d6-45a3-9999-15f2ee350005,00-0035021,DUL521764,32013030-2d30-3033-3530-32318bcae2be
adimchinobe,echemandu,NA,RB,11/21/1980,California,AE-0100,2506072,NA,NA,NA,NA,NA
armanti,edwards,NA,WR,03/08/1988,Appalachian State,AE-0500,497110,NA,NA,00-0027692,EDW112351,32013030-2d30-3032-3736-39325eed10ba
austin,ekeler,NA,RB,05/17/1995,Western State (CO),AE-0550,2559169,2625,cd554762-6fdd-4ede-ac90-43edaee056e5,00-0033699,EKE189430,32013030-2d30-3033-3336-39396b8ab7d5
andre,ellington,NA,RB,02/03/1989,Clemson,AE-0750,2539217,2027,NA,00-0030287,ELL164917,32013030-2d30-3033-3032-3837e889941b
alex,ellis,NA,TE,02/10/1993,Tennessee,AE-0775,2556737,NA,19bcaf1f-31e7-44e0-9bc0-65c74ea76e02,00-0032864,ELL403440,32013030-2d30-3033-3238-3634724912fc
alex,erickson,NA,WR,11/06/1992,Wisconsin,AE-1037,2556519,NA,d5eb43e5-a83b-42e4-b386-f4bf082e1c88,00-0032543,ERI090697,32013030-2d30-3033-3235-3433374bea4b
amba,etta-tawo,NA,WR,11/10/1993,Syracuse,AE-1043,2559170,NA,NA,00-0033687,ETT087786,NA
anthony,ezeakunne,NA,TE,NA,Chapman,AE-1200,2554532,NA,NA,00-0032314,EZE043713,NA
anthony,fasano,NA,TE,04/20/1984,Notre Dame,AF-0200,2495835,NA,NA,00-0024268,FAS072076,32013030-2d30-3032-3432-3638b9992f34
aj,feeley,NA,QB,05/16/1977,Oregon,AF-0300,2504566,NA,NA,00-0020305,FEE447935,32013030-2d30-3032-3033-3035a2bdfac5
anthony,firkser,NA,TE,02/19/1995,Harvard,AF-0550,2558942,NA,affd76e7-d086-46a9-9650-e5cdea3a40ea,00-0033455,FIR355963,32013030-2d30-3033-3334-3535f4be2829
austin,fort,NA,TE,05/14/1995,Wyoming,AF-0850,2563037,NA,NA,00-0034932,FOR594486,NA
arian,foster,NA,RB,08/24/1986,Tennessee,AF-0900,79555,1724,NA,00-0026796,FOS107404,32013030-2d30-3032-3637-3936506d4e12
antonio,freeman,NA,WR,05/27/1972,Virginia Tech,AF-1300,2500704,NA,NA,NA,NA,NA
adam,fuehne,NA,TE,03/23/1993,Southern Illinois,AF-1600,2556533,NA,NA,00-0032557,FUE274172,NA
antonio,gates,NA,TE,06/18/1980,Kent State,AG-0500,2505299,415,NA,00-0021547,GAT194627,32013030-2d30-3032-3135-3437f752e4a4
alex,gillett,NA,WR,05/17/1991,Eastern Michigan,AG-0750,2542084,NA,NA,00-0030454,GIL443348,NA
andrew,gleichert,NA,TE,01/13/1992,Michigan State,AG-0787,2553713,NA,NA,00-0031651,GLE084286,NA
andrew,glover,NA,TE,08/12/1967,Grambling,AG-0900,2500818,NA,NA,NA,NA,NA
anthony,gonzalez,NA,WR,09/18/1984,Ohio State,AG-1100,2495612,431,NA,00-0025419,GON586238,32013030-2d30-3032-3534-313997343fd7
antwan,goodley,NA,WR,09/06/1991,Baylor,AG-1150,2553526,NA,NA,00-0031747,GOO275616,NA
antwane,grant,NA,WR,08/14/1992,Western Kentucky,AG-1450,2556539,NA,NA,00-0032544,GRA392977,NA
alex,gray,NA,TE,05/01/1991,None,AG-1487,2559379,NA,NA,00-0034010,GRA603000,NA
aj,green,NA,WR,07/31/1988,Georgia,AG-1500,2495450,1795,8541b275-6451-4fe0-ac1f-824531d1759d,00-0027942,GRE034604,32013030-2d30-3032-3739-3432de086283
aaron,green,NA,RB,10/15/1992,Texas Christian,AG-1550,2556541,NA,NA,00-0032672,GRE034007,NA
ahman,green,NA,RB,02/16/1977,Nebraska,AG-1600,2500887,NA,NA,NA,NA,NA
alex,green,NA,RB,06/23/1988,Hawaii,AG-1700,2508119,NA,NA,00-0028034,GRE037487,32013030-2d30-3032-3830-3334e718860a
az-zahir,hakim,NA,WR,06/03/1977,San Diego State,AH-0200,2500959,NA,NA,NA,NA,NA
ahmard,hall,NA,RB,11/13/1979,Texas,AH-0300,NA,NA,NA,NA,NA,NA
andre,hall,NA,RB,08/20/1982,South Florida,AH-0500,2495844,NA,NA,NA,NA,NA
andy,hall,NA,QB,11/26/1980,Delaware,AH-0600,2505960,NA,NA,NA,NA,NA
aaron,halterman,NA,TE,03/31/1982,Indiana,AH-0700,2506175,NA,NA,NA,NA,NA
andre,hardy,NA,TE,03/18/1987,California-Fullerton,AH-0775,2535437,NA,NA,00-0028843,HAR072075,NA
alonzo,harris,NA,RB,11/09/1992,Louisiana-Lafayette,AH-1150,2553533,NA,NA,00-0031830,HAR337123,32013030-2d30-3033-3138-33306a7efa61
arlen,harris,NA,RB,04/22/1980,Virginia,AH-1450,2505379,NA,NA,NA,NA,NA
atnaf,harris,NA,WR,02/27/1979,Fresno State,AH-1475,2505004,NA,NA,NA,NA,NA
andre,hastings,NA,WR,11/07/1970,Georgia,AH-1600,2501079,NA,NA,NA,NA,NA
andrew,hawkins,NA,WR,03/10/1986,Toledo,AH-1900,2508097,2053,NA,00-0027918,HAW100447,32013030-2d30-3032-3739-3138183483d0
alex,haynes,NA,RB,02/13/1982,Central Florida,AH-2200,2506594,NA,NA,NA,NA,NA
aaron,hernandez,NA,TE,11/06/1989,Florida,AH-2800,497244,1756,NA,00-0027713,HER281088,32013030-2d30-3032-3737-31332ef5e9c2
anthony,hill,NA,TE,01/02/1985,North Carolina State,AH-3300,71329,NA,NA,00-0026908,HIL079716,32013030-2d30-3032-3639-30383286358a
austin,hill,NA,WR,07/17/1991,Arizona,AH-3325,2553892,NA,NA,00-0032101,HIL087132,NA
alexander,hollins,NA,WR,11/24/1996,Eastern Illinois,AH-3450,2562989,NA,976989d6-cd13-468d-8fff-5e671338cf35,00-0035104,HOL279297,32013030-2d30-3033-3531-30344078bbea
alex,holmes,NA,TE,08/22/1981,USC,AH-3500,2506217,NA,NA,NA,NA,NA
andre,holmes,NA,WR,06/16/1988,Hillsdale,AH-3600,2495453,NA,NA,00-0028263,HOL497389,32013030-2d30-3032-3832-36333b0547bc
austin,hooper,NA,TE,11/04/1994,Stanford,AH-3650,2555415,2361,372dec93-23c5-4415-b446-df988c53f1e3,00-0032392,HOO570770,32013030-2d30-3033-3233-39328d4eeab0
adam,humphries,NA,WR,01/24/1993,Clemson,AH-3862,2553895,2701,83642685-2dcf-47d5-9885-7b0ebb2e4f47,00-0032009,HUM721507,32013030-2d30-3033-3230-30396f0c2958
akeem,hunt,NA,RB,02/22/1993,Purdue,AH-3875,2553660,NA,NA,00-0031743,HUN095764,32013030-2d30-3033-3137-34337a0ae7c6
allen,hurns,NA,WR,11/12/1991,Miami (FL),AH-3900,2550353,2251,936268d8-d6dc-43f7-afb5-80dabd45d7f9,00-0030821,HUR436342,32013030-2d30-3033-3038-32317c4d97af
alec,ingold,NA,RB,07/09/1996,Wisconsin,AI-0050,2562288,NA,1d2a545e-f434-4077-a008-7ca4db0781c6,00-0035125,ING382661,32013030-2d30-3033-3531-32352ac54f8f
andy,isabella,NA,WR,11/18/1996,Massachusetts,AI-0100,2562669,NA,ecbc8e4b-f7cb-4f0b-a256-f32efb13ea43,00-0035527,ISA562722,32013030-2d30-3033-3535-3237a22ee4c7
arnold,jackson,NA,WR,04/09/1977,Louisville,AJ-0300,2504441,NA,NA,NA,NA,NA
andy,janovich,NA,RB,05/23/1993,Nebraska,AJ-0375,NA,NA,761286d1-3df4-4d3d-b9d1-bfcdedc6ae75,NA,NA,NA
alshon,jeffery,NA,WR,02/14/1990,South Carolina,AJ-0430,2533039,1918,78ee4821-0c4b-4d0a-9ed8-1c93d5354708,00-0029137,JEF498860,32013030-2d30-3032-3931-33376f5ae4ed
aj,jenkins,NA,WR,09/30/1989,Illinois,AJ-0460,2532876,NA,NA,00-0029654,JEN124150,32013030-2d30-3032-3936-353460c6dd25
adam,jennings,NA,WR,11/17/1982,Fresno State,AJ-0500,2495866,NA,NA,NA,NA,NA
adonis,jennings,NA,WR,12/31/1995,Temple,AJ-0550,2561654,NA,NA,00-0034859,JEN453388,NA
albert,johnson,NA,WR,11/11/1977,SMU,AJ-0800,2504335,NA,NA,NA,NA,NA
andre,johnson,NA,WR,07/11/1981,Miami (FL),AJ-0900,2505551,605,NA,00-0022044,JOH056462,32013030-2d30-3032-3230-343499436c0c
anthony,johnson,NA,RB,10/25/1967,Notre Dame,AJ-1000,2501409,NA,NA,NA,NA,NA
anthony,johnson,NA,WR,01/29/1995,Buffalo,AJ-1075,2562297,NA,NA,00-0035474,JOH000025,NA
austin,johnson,NA,RB,06/16/1989,Tennessee,AJ-1125,NA,NA,NA,NA,NA,NA
aaron,jones,NA,RB,12/02/1994,Texas-El Paso,AJ-1143,2558116,2507,83a32541-7cc7-420b-8ad3-da3b9852f9f6,00-0033293,JON026624,32013030-2d30-3033-3332-3933ed82c0de
andy,jones,NA,WR,06/28/1994,Jacksonville,AJ-1450,2556569,NA,NA,00-0032707,JON037185,32013030-2d30-3033-3237-303771d93c95
andrew,jordan,NA,TE,06/21/1972,Western Carolina,AJ-1700,2501527,NA,NA,NA,NA,NA
akeem,judd,NA,RB,12/11/1992,Mississippi,AJ-2000,2559338,NA,NA,00-0033800,JUD125680,NA
alvin,kamara,NA,RB,07/25/1995,Tennessee,AK-0050,2558019,2439,7fdeb3ad-f151-435f-bac8-b86df1557719,00-0033906,KAM244058,32013030-2d30-3033-3339-3036f296898c
anthony,kelly,NA,WR,04/14/1993,Kutztown,AK-0325,2557533,NA,NA,00-0033167,KEL493080,NA
andre,king,NA,WR,11/26/1973,Miami (FL),AK-0400,2504668,NA,NA,NA,NA,NA
anthony,kukwa,NA,TE,10/30/1992,Lake Erie,AK-0975,NA,NA,NA,NA,NA,NA
aaron,lacombe,NA,WR,04/06/1995,Cal Lutheran,AL-0025,2561651,NA,NA,00-0034853,LAC474617,NA
allen,lazard,NA,WR,12/11/1995,Iowa State,AL-0387,2560787,3077,21073b52-848e-43b9-861e-9b42d6ffa54a,00-0034521,LAZ043714,32013030-2d30-3033-3435-323139d34fef
amp,lee,NA,RB,10/01/1971,Florida State,AL-0400,2501715,NA,NA,NA,NA,NA
ashley,lelie,NA,WR,02/16/1980,Hawaii,AL-0600,2505022,NA,NA,NA,NA,NA
alec,lemon,NA,WR,07/01/1991,Syracuse,AL-0620,2540231,NA,NA,00-0030239,LEM570770,NA
andre,levrone,NA,WR,03/09/1995,Virginia,AL-0750,2561136,NA,NA,00-0034196,LEV640641,NA
andrew,luck,NA,QB,09/12/1989,Stanford,AL-1100,2533031,1897,NA,00-0029668,LUC524055,32013030-2d30-3032-3936-363868835ca0
arthur,lynch,NA,TE,06/17/1990,Georgia,AL-1300,2543714,NA,NA,00-0031286,LYN065058,NA
alize,mack,NA,TE,03/29/1997,Notre Dame,AM-0150,2562307,NA,NA,00-0035309,MAC220396,NA
adrian,madise,NA,WR,03/23/1980,Texas Christian,AM-0300,2505446,NA,NA,NA,NA,NA
anthony,mahoungou,NA,WR,02/12/1994,Purdue,AM-0550,2561514,NA,NA,00-0034462,MAH557943,NA
anthony,manzo-lewis,NA,RB,10/11/1995,NY-Albany,AM-0725,2561368,NA,NA,00-0034563,MAN822578,NA
alexander,mattison,NA,RB,06/19/1998,Boise State,AM-0825,2562682,3458,a04d327f-1f25-4bff-875e-3f5378a1ae49,00-0034972,MAT599622,32013030-2d30-3033-3439-373266fec4d2
alonzo,mayes,NA,TE,06/04/1975,Oklahoma State,AM-1100,2501925,NA,NA,NA,NA,NA
aj,mccarron,NA,QB,09/13/1990,Alabama,AM-1150,2543497,NA,NA,00-0031288,MCC176481,32013030-2d30-3033-3132-38386b3121bc
anthony,mccoy,NA,TE,12/28/1987,USC,AM-1400,497250,NA,NA,00-0027783,MCC601593,32013030-2d30-3032-3737-3833b24230b7
alex,mcgough,NA,QB,11/19/1995,Florida International,AM-1550,2561148,NA,NA,00-0034732,MCG519888,NA
aaron,mellette,NA,WR,12/28/1989,Elon,AM-1750,2539221,NA,NA,00-0029896,MEL289611,NA
ahmad,merritt,NA,WR,02/05/1977,Wisconsin,AM-1800,2504151,NA,NA,NA,NA,NA
anthony,miller,NA,WR,10/09/1994,Memphis,AM-1975,2560810,2878,dd0a0706-3b98-444f-a759-460a3244ff36,00-0034353,MIL140090,32013030-2d30-3033-3433-3533e3a58e3c
anthony,mix,NA,WR,01/20/1983,Auburn,AM-2200,2506724,NA,NA,NA,NA,NA
alonzo,moore,NA,WR,11/10/1992,Nebraska,AM-2650,2559088,NA,NA,00-0033484,MOO164950,NA
aaron,moorehead,NA,WR,11/05/1980,Illinois,AM-2700,2505391,NA,NA,NA,NA,NA
alfred,morris,NA,RB,12/12/1988,Florida Atlantic,AM-2850,2533457,1961,NA,00-0029141,MOR317547,32013030-2d30-3032-3931-34313699cd9e
aaron,murray,NA,QB,11/10/1990,Georgia,AM-3075,2543587,NA,NA,00-0031287,MUR545474,NA
adrian,murrell,NA,RB,10/16/1970,West Virginia,AM-3100,2502245,NA,NA,NA,NA,NA
anthony,nash,NA,WR,09/20/1993,Duke,AN-0025,2559221,NA,NA,00-0033669,NAS112930,NA
adam,nissley,NA,TE,05/06/1988,Central Florida,AN-0300,2535579,NA,NA,00-0028856,NIS741988,NA
andrew,opoku,NA,WR,11/11/1990,Delaware,AO-0550,2557549,NA,NA,00-0033180,OPO355964,NA
aj,ouellette,NA,RB,07/20/1995,Ohio,AO-0587,2562951,NA,NA,00-0035583,OUE415291,NA
andre,patton,NA,WR,05/28/1994,Rutgers,AP-0388,2559227,NA,094219bc-fe0c-4026-ad84-7d846a7de4ad,00-0033705,PAT582420,32013030-2d30-3033-3337-3035fe38957b
andrew,peacock,NA,WR,01/14/1991,Appalachian State,AP-0392,2550240,NA,NA,00-0030729,PEA098169,NA
alvin,pearman,NA,RB,08/10/1982,Virginia,AP-0400,2506464,NA,NA,00-0023561,PEA296862,NA
aaron,peck,NA,TE,10/09/1994,Fresno State,AP-0475,2558986,NA,NA,00-0033360,PEC343214,NA
adrian,peterson,NA,RB,03/21/1985,Oklahoma,AP-0700,2507164,925,996fa944-96fc-44b0-9ce2-51767258367b,00-0025394,PET260705,32013030-2d30-3032-3533-3934ceb6c025
adrian,peterson,NA,RB,07/01/1979,Georgia Southern,AP-0800,2505173,925,996fa944-96fc-44b0-9ce2-51767258367b,00-0021306,PET263012,NA
austin,pettis,NA,WR,05/07/1988,Boise State,AP-0900,2495212,NA,NA,00-0028016,PET735733,32013030-2d30-3032-3830-3136291043f4
artose,pinner,NA,RB,01/05/1978,Kentucky,AP-1300,2505518,NA,NA,NA,NA,NA
andrew,pinnock,NA,RB,03/12/1980,South Carolina,AP-1400,2505457,NA,NA,NA,NA,NA
antonio,pittman,NA,RB,12/19/1985,Ohio State,AP-1500,2495711,NA,NA,NA,NA,NA
andrew,price,NA,TE,09/08/1993,UNLV,AP-2050,2559467,NA,NA,00-0034040,PRI034057,NA
austin,proehl,NA,WR,10/11/1995,North Carolina,AP-2075,2561160,NA,NA,00-0034442,PRO180048,NA
alfred,pupunu,NA,TE,10/17/1969,Weber State,AP-2100,2502563,NA,NA,NA,NA,NA
andrew,quarless,NA,TE,10/06/1988,Penn State,AQ-0100,497258,NA,NA,00-0027753,QUA373212,32013030-2d30-3032-3737-35338a776633
antwaan,randle el,NA,WR,08/17/1979,Indiana,AR-0200,2505060,NA,NA,00-0021190,RAN399604,00-0021190
anthony,ratliff-williams,NA,WR,06/17/1997,North Carolina,AR-0250,2562812,NA,NA,00-0035520,RAT626310,NA
andre,reed,NA,WR,01/29/1964,Kutztown,AR-0400,2502607,NA,NA,NA,NA,NA
allen,reisner,NA,TE,09/29/1988,Iowa,AR-0600,2495437,NA,NA,00-0028267,REI694855,32013030-2d30-3032-3832-3637287b5559
alan,ricard,NA,RB,01/17/1977,Louisiana-Monroe,AR-0800,2503875,NA,NA,NA,NA,NA
aj,richardson,NA,WR,06/02/1995,Boise State,AR-0825,2563019,NA,NA,00-0035491,RIC368740,NA
al-damion,riles,NA,WR,09/17/1993,LA-Lafayette,AR-0862,NA,NA,NA,NA,NA,NA
aaron,ripkowski,NA,RB,10/02/1992,Oklahoma,AR-0875,NA,NA,NA,NA,NA,NA
andre,rison,NA,WR,03/18/1967,Michigan State,AR-0900,2502674,NA,NA,NA,NA,NA
andre,roberts,NA,WR,01/09/1988,Citadel,AR-1100,497320,NA,5c79b75c-eef3-4aaf-9111-bc0bec265156,00-0027691,ROB102317,32013030-2d30-3032-3736-393138b8a13c
austin,roberts,NA,TE,12/03/1995,UCLA,AR-1107,2561621,NA,NA,00-0034784,ROB108900,NA
